Pulse,Temperature,Time,Place,Outcome
95,39.4,19:00,Not Home,Lose
75,35.2,19:00,Home,Win
117,36.7,5:00,Not Home,Lose
56,37.9,6:00,Home,Win
61,36.1,3:00,Home,Win
106,39.2,10:00,Not Home,Lose
99,36.3,17:00,Not Home,Win
81,37.9,15:00,Home,Win
75,38.3,16:00,Home,Win
106,35.4,16:00,Home,Win
119,38,14:00,Not Home,Lose
66,39.5,9:00,Home,Lose
116,39.2,11:00,Home,Lose
89,39.2,19:00,Home,Win
104,37.7,7:00,Not Home,Lose
103,37.9,2:00,Not Home,Lose
104,35.8,20:00,Not Home,Win
99,36.8,17:00,Not Home,Win
92,38.7,1:00,Not Home,Lose
78,37,12:00,Not Home,Win
64,36.7,0:00,Home,Win
80,36.3,2:00,Not Home,Lose
100,37.5,2:00,Not Home,Lose
74,37.4,1:00,Not Home,Lose
55,38.9,15:00,Not Home,Lose
98,35.3,4:00,Not Home,Lose
119,37.1,3:00,Home,Lose
95,39.1,12:00,Home,Win
116,37.5,19:00,Home,Lose
115,35.8,23:00,Home,Lose
97,37.5,13:00,Not Home,Win
70,36.6,20:00,Home,Win
61,38.3,0:00,Not Home,Lose
80,38.5,1:00,Not Home,Lose
119,36.6,6:00,Not Home,Lose
90,37.2,4:00,Home,Win
69,38.7,16:00,Home,Win
108,39,18:00,Home,Win
102,35.5,7:00,Home,Win
96,36.5,2:00,Not Home,Lose
64,39,11:00,Home,Win
80,37.5,13:00,Home,Win
62,39.5,22:00,Home,Win
105,36.8,21:00,Home,Win
94,36.3,0:00,Home,Win
67,38,17:00,Not Home,Lose
101,35.2,4:00,Not Home,Lose
89,37.5,14:00,Not Home,Win
83,39.5,16:00,Home,Win
107,39.5,0:00,Not Home,Lose
86,37.7,18:00,Home,Win
99,38.5,8:00,Home,Lose
58,38.3,2:00,Home,Lose
118,35.6,22:00,Home,Lose
58,38.7,21:00,Home,Win
67,37.6,1:00,Not Home,Lose
87,37.2,3:00,Not Home,Lose
58,37.8,21:00,Not Home,Lose
71,38.9,16:00,Home,Win
108,37,3:00,Not Home,Lose
88,35.8,1:00,Not Home,Lose
79,35.2,23:00,Not Home,Lose
59,36.8,12:00,Home,Win
102,37.1,5:00,Not Home,Lose
99,36.5,17:00,Not Home,Win
113,35.5,12:00,Home,Lose
87,39.4,22:00,Not Home,Lose
91,38.9,15:00,Not Home,Lose
98,38.3,20:00,Home,Win
74,36.9,3:00,Home,Win
105,39,21:00,Home,Win
77,38.7,6:00,Home,Lose
98,36.2,7:00,Not Home,Lose
89,35.1,9:00,Not Home,Lose
52,38.6,20:00,Home,Win
77,37.9,8:00,Not Home,Lose
78,35.6,11:00,Not Home,Win
96,37.8,20:00,Home,Win
53,37.3,6:00,Home,Win
85,37.4,6:00,Not Home,Lose
62,36.4,16:00,Home,Win
103,36.7,5:00,Not Home,Lose
74,37.4,0:00,Home,Win
95,36.4,14:00,Home,Win
82,37.3,11:00,Home,Win
79,35.9,10:00,Not Home,Win
52,38.3,1:00,Not Home,Lose
94,38.3,1:00,Not Home,Lose
91,35.5,15:00,Not Home,Win
105,38.4,3:00,Home,Lose
82,36.5,11:00,Home,Win
83,35.1,8:00,Home,Win
102,39.5,2:00,Home,Lose
109,38.8,3:00,Not Home,Lose
74,37.9,10:00,Not Home,Lose
95,35.7,9:00,Home,Win
61,39.2,23:00,Not Home,Lose
115,37.6,16:00,Not Home,Lose
116,36.5,8:00,Home,Lose
59,39.6,15:00,Home,Win
65,35.5,7:00,Not Home,Lose
92,38.6,20:00,Home,Win
